rn,B6_x_cast_1xE3_5_bla_1,B6_x_cast_1xE3_5_bla_2,B6_x_cast_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_1,cast_x_B6_1xE3_5_bla_2,cast_x_B6_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_5,cast_x_B6_1xE3_5_bla_7
Mfsd7c,1718,1115,1131,861,2263,1012,2009,1388
0610007P14Rik,969,527,621,716,906,1360,1118,646
Ttll5,629,453,405,720,596,343,522,469
Ift43,446,528,517,336,894,647,559,504
Gm805,56,5,33,4,188,33,56,64
Gpatch2l,275,176,221,219,343,278,161,227
Esrrb,2578,1722,1635,2622,2877,1195,1671,1159
Angel1,67,107,133,51,120,60,262,140
Lrrc74a,0,0,0,0,0,0,0,0
Irf2bpl,95,79,110,116,97,94,155,108
Cipc,510,576,209,265,256,315,187,353
Pomt2,188,111,141,262,279,252,206,165
Gstz1,373,294,457,368,848,630,400,388
Tmed8,288,143,250,186,178,311,343,177
Noxred1,526,420,338,266,600,265,188,209
Vipas39,752,800,919,907,1090,1146,1061,830
Ahsa1,6428,4958,6345,826,7664,9511,6041,4731
Ism2,9,22,13,0,13,89,59,16
Sptlc2,1415,985,1049,839,1199,1740,972,806
Alkbh1,292,127,174,361,373,218,146,174
Nrp,467,220,195,159,357,231,221,137
Slirp,4065,2495,2770,2594,2682,3153,2410,1945
Snw1,2101,1221,1990,604,1441,1890,1561,908
Adck1,532,189,493,190,379,525,163,236
Nrxn3,3,0,0,0,0,0,0,0
Cep128,279,106,153,156,164,298,69,177
5430427M07Rik,0,8,3,13,45,0,1,27
Gtf2a1,387,161,265,437,359,197,237,283
Ston2,150,47,72,17,49,19,9,47
Sel1l,1439,747,645,544,511,641,520,600
Galc,115,42,17,15,39,45,60,55
Kcnk10,0,2,1,0,0,0,1,0
Spata7,367,268,212,386,426,356,281,318
Ptpn21,323,196,232,435,366,124,315,164
Zc3h14,704,545,720,983,839,514,429,436
Eml5,27,43,18,243,300,66,127,22
Ttc8,57,15,39,52,1,46,3,19
Foxn3,1729,1658,843,1537,1317,1226,1125,996
Gm26839,0,0,0,0,1,0,0,0
Efcab11,235,67,161,324,43,101,80,97
Tdp1,222,36,80,65,154,171,92,47
Kcnk13,4,0,0,0,0,0,0,0
Psmc1,7648,6330,8586,3011,7733,11121,8625,4793
Nrde2,1447,661,780,898,1035,800,783,862
Gm10433,11,16,30,67,65,0,1,26
Calm1,59438,41636,45279,25298,48973,70178,44920,41951
Ttc7b,1392,846,987,1340,1030,755,668,774
Rps6ka5,111,25,46,61,9,24,43,45
9030617O03Rik,9,8,31,143,48,47,67,66
Gpr68,2,0,9,6,0,0,1,2
Ccdc88c,1110,623,269,324,987,395,693,290
Smek1,1331,901,1090,1188,579,576,1002,695
D130020L05Rik,15,30,34,64,49,56,36,35
Tc2n,24,4,5,2,1,10,32,0
Trip11,428,532,181,546,350,397,339,216
Atxn3,412,471,373,409,520,264,631,292
Cpsf2,1664,1008,1349,939,865,1106,1279,638
Rin3,750,689,827,135,474,709,723,914
Lgmn,1539,946,1055,148,1090,1671,763,827
Golga5,676,339,556,662,244,532,357,415
Chga,467,184,345,31,163,303,267,233
Itpk1,1237,694,819,451,1570,811,1348,644
Moap1,3,0,0,5,5,7,7,4
Tmem251,317,342,457,103,401,891,344,297
AK010878,484,230,305,350,550,484,462,304
Ubr7,352,206,475,550,698,470,571,468
Btbd7,532,335,340,605,393,329,298,329
Otub2,60,6,23,24,29,34,40,0
Ddx24,4227,2907,3181,1289,1825,2232,3370,1514
Ifi27l2a,0,0,5,101,7,31,58,52
Ifi27,0,0,49,0,0,57,7,22
Serpina1e,3,74,0,0,0,24,0,0
Serpina3h,2,0,0,16,0,0,0,0
Serpina3m,97,20,10,0,19,46,10,19
Gsc,237,126,168,240,219,86,357,313
Dicer1,632,567,618,865,618,414,599,239
Clmn,642,566,637,556,485,264,707,477
Syne3,86,27,57,29,7,20,1,21
Snhg10,195,91,56,138,46,64,55,46
Glrx5,2347,2048,2746,824,2970,3763,2861,1992
Tcl1,587,434,406,30,511,1635,432,210
Tunar,0,0,2,0,58,11,121,9
Atg2b,801,706,548,1229,909,590,812,696
Gskip,1184,1337,814,614,1023,1100,881,935
Ak7,742,1151,547,939,1512,1974,1347,2096
Papola,5604,5217,5577,5789,6540,5852,5249,5501
